TEAM,YEAR,POSTSEASON
Akron,2024,R64
Alabama,2024,F4
Arizona,2024,S16
Auburn,2024,R64
Baylor,2024,R32
Boise St.,2024,R64
BYU,2024,R64
Clemson,2024,E8
Colgate,2024,R64
College of Charleston,2024,R64
Colorado,2024,R32
Colorado St.,2024,R64
Connecticut,2024,Champions
Creighton,2024,S16
Dayton,2024,R32
Drake,2024,R64
Duke,2024,E8
Duquesne,2024,R32
Florida,2024,R64
Florida Atlantic,2024,R64
Gonzaga,2024,S16
Grambling St.,2024,R64
Grand Canyon,2024,R32
Houston,2024,S16
Howard,2024,R64
Illinois,2024,E8
Iowa St.,2024,S16
James Madison,2024,R32
Kansas,2024,R32
Kentucky,2024,R64
Long Beach St.,2024,R64
Longwood,2024,R64
Marquette,2024,S16
McNeese St.,2024,R64
Michigan St.,2024,R32
Mississippi St.,2024,R64
Montana St.,2024,R64
Morehead St.,2024,R64
Nebraska,2024,R64
Nevada,2024,R64
New Mexico St.,2024,R64
North Carolina,2024,S16
North Carolina St.,2024,F4
Northwestern,2024,R32
Oakland,2024,R32
Oregon,2024,R32
Purdue,2024,2ND
Saint Mary's,2024,R64
Saint Peter's,2024,R64
Samford,2024,R64
San Diego St.,2024,S16
South Carolina,2024,R64
South Dakota St.,2024,R64
Stetson,2024,R64
TCU,2024,R64
Tennessee,2024,E8
Texas,2024,R32
Texas A&M,2024,R32
Texas Tech,2024,R64
UAB,2024,R64
Utah St.,2024,R32
Vermont,2024,R64
Virginia,2024,R64
Wagner,2024,R64
Washington St.,2024,R32
Western Kentucky,2024,R64
Wisconsin,2024,R64
Yale,2024,R32